,min,max,mean,std
wSMI_1_mean,0.0,0.00861995,0.002395171,0.003438954282008316
wSMI_1_std,0.0,0.02286104,0.0036742660000000003,0.007142092903847038
wSMI_2_mean,0.02832526,0.06843034,0.04869949600000001,0.013886118797745229
wSMI_2_std,0.0,0.01818298,0.003161366,0.005996870183643391
wSMI_4_mean,0.0,0.11171578,0.078814037,0.03285860937474143
wSMI_4_std,0.0,0.03441971,0.010382348,0.010904264879483113
wSMI_8_mean,0.0,0.03472318,0.009537712,0.010347819122495544
wSMI_8_std,0.0,0.02253505,0.003976499,0.00817684622670141
p_e_1_mean,0.0,0.02334514,0.00404849,0.007742868028731703
p_e_1_std,0.00725065,0.04702308,0.030535545000000004,0.013543320507023419
p_e_2_mean,0.0,0.0439384,0.004726382,0.013817278010749843
p_e_2_std,0.0,0.01313243,0.002993454,0.004486658160737852
p_e_4_mean,0.0,0.03110474,0.009489461,0.012854756308478413
p_e_4_std,0.0,0.01326447,0.003495285,0.005707608462225858
p_e_8_mean,0.0,0.02749283,0.010059245000000001,0.01104764353709901
p_e_8_std,0.00548657,0.05555556,0.027232537,0.015224080476914818
k_mean,0.0,0.04140491,0.01021899,0.013923733149088366
k_std,0.0,0.06059439,0.021977835,0.02010767664136331
se_mean,0.0,0.02544315,0.005589144,0.009018810114335975
se_std,0.0,0.02777778,0.012346313000000001,0.011683528811561124
msf_mean,0.0,0.07097485,0.014116289,0.022641982927464367
msf_std,0.0,0.05900342,0.012834246999999998,0.02085858841150413
sef90_mean,0.0,0.02777778,0.007397697,0.010000297757038203
sef90_std,0.0,0.02422009,0.005561642,0.007825074824262491
sef95_mean,0.0,0.0101028,0.0024512030000000003,0.004095945697133664
sef95_std,0.0,0.02219462,0.004703352,0.007500706745701886
b_mean,0.0,0.01615846,0.005471107,0.005896303116318921
b_std,0.0,0.02068249,0.003532428,0.006835399024382475
b_n_mean,0.0,0.04138747,0.018284515,0.015246291330173271
b_n_std,0.0,0.0561752,0.011504324,0.019072115677018112
g_mean,0.0,0.00756357,0.0016074169999999999,0.003034563550236398
g_std,0.00916732,0.02891812,0.019288816,0.007330903426074215
g_n_mean,0.0,0.01142757,0.003296027,0.004619901211471589
g_n_std,0.0,0.02639823,0.0077290020000000004,0.008268547991515534
t_mean,0.0,0.0524079,0.03331462,0.01737782983131029
t_std,0.0,0.02491919,0.004466406000000001,0.007893417536146039
t_n_mean,0.07652192,0.19049309,0.127639127,0.03753145698128913
t_n_std,0.01009705,0.1399935,0.091154815,0.03807228037950657
d_mean,0.0,0.04405085,0.009374005000000001,0.014453981012746971
d_std,0.0,0.00897777,0.002469859,0.00401864668943124
d_n_mean,0.0,0.01855749,0.008675976,0.006994481649300714
d_n_std,0.0,0.01751429,0.0036293939999999998,0.006638307806942636
a_n_mean,0.0,0.02777778,0.007881978000000001,0.008942024997647407
a_n_std,0.0,0.02777778,0.006227893,0.009403943068174528
a_mean,0.0,0.01790169,0.006665368,0.007267355336617457
a_std,0.0,0.01211672,0.003564291,0.004772535057743188
CNV_mean,0.0,0.0503804,0.015046251,0.01574397987219062
CNV_std,0.0,0.06454367,0.025708712,0.019170757149399188
P1_mean,0.05433112,0.23592593,0.171780654,0.05334636130446891
P1_std,0.0,0.02777778,0.011094371,0.009301485155500049
P3a_mean,0.00940576,0.03778834,0.023360066999999998,0.011179603481313687
P3a_std,0.0,0.0240862,0.005004433,0.007365854733966046
P3b_mean,0.0,0.03452195,0.017954877,0.010715116026875356
P3b_std,0.0,0.03551332,0.003855269,0.01116444095627666
