,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_aucs,feature_importances
953,953,0.6622232124623461,2024-01-08 18:24:13.361173,2024-01-08 18:24:21.193073,0 days 00:00:07.831900,True,squared_error,0.0011740219553062587,41,0.05946815748305552,89,0.01377115008070229,5,2,16,COMPLETE,,
715,715,0.6477416601246392,2024-01-08 18:02:22.221354,2024-01-08 18:02:26.552539,0 days 00:00:04.331185,True,squared_error,0.003115883029032086,43,0.05992719306960745,99,0.012895660329217176,10,2,10,COMPLETE,,
638,638,0.643185877757366,2024-01-08 17:54:04.900447,2024-01-08 17:54:10.702889,0 days 00:00:05.802442,True,squared_error,0.0018699489360545335,37,0.07091007275421707,95,0.014366399095082343,8,3,17,COMPLETE,,
1103,1103,0.6429534229553431,2024-01-08 18:51:46.603092,2024-01-08 18:51:50.456519,0 days 00:00:03.853427,True,squared_error,0.014469686658258376,39,0.06090719679094105,98,0.013670200447352598,10,3,20,COMPLETE,"[0.7126984126984127, 0.5595238095238095, 0.7837370242214533, 0.6555183946488294, 0.5032894736842105]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.15148223 0.         0.
 0.         0.         0.66131964 0.         0.         0.
 0.         0.         0.18719813 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
389,389,0.6401471598420855,2024-01-08 17:29:28.437337,2024-01-08 17:29:33.163184,0 days 00:00:04.725847,True,squared_error,0.006164014339725675,33,0.07153416669096298,85,0.013816786390170026,6,19,17,COMPLETE,,
1337,1337,0.6390196181602786,2024-01-08 19:13:00.190607,2024-01-08 19:13:03.912532,0 days 00:00:03.721925,True,squared_error,0.024837807269848414,36,0.06026228670831063,100,0.01419224084393464,7,2,23,COMPLETE,"[0.6952380952380952, 0.43707482993197283, 0.71280276816609, 0.6789297658862876, 0.6710526315789473]","[0.         0.         0.5        0.         0.         0.
 0.         0.         0.         0.08375531 0.         0.
 0.         0.         0.32104903 0.         0.         0.
 0.         0.         0.09519567 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
474,474,0.6385943874168947,2024-01-08 17:36:58.361122,2024-01-08 17:37:04.305623,0 days 00:00:05.944501,True,squared_error,0.002824273067663421,38,0.07367199218040159,92,0.013717735516417176,8,2,16,COMPLETE,,
1628,1628,0.6384916531578064,2024-01-08 19:36:59.632996,2024-01-08 19:37:02.796591,0 days 00:00:03.163595,True,squared_error,0.025005097011474645,36,0.07024048809001558,89,0.013770877663868737,10,19,10,COMPLETE,"[0.7126984126984127, 0.6071428571428571, 0.6626297577854672, 0.6672240802675586, 0.5427631578947368]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.14833627 0.         0.
 0.         0.         0.65648053 0.         0.         0.
 0.         0.         0.1951832  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
1732,1732,0.6364811950576573,2024-01-08 19:46:08.417660,2024-01-08 19:46:11.992943,0 days 00:00:03.575283,True,squared_error,0.014230991947894938,40,0.08566588502371461,96,0.014981027977250214,9,2,13,COMPLETE,"[0.6634920634920636, 0.6020408163265306, 0.6539792387543253, 0.6839464882943144, 0.5789473684210527]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.33333333 0.         0.         0.
 0.         0.         0.33333333 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
848,848,0.6362787448937626,2024-01-08 18:16:28.134809,2024-01-08 18:16:30.985652,0 days 00:00:02.850843,True,squared_error,0.06856612295680647,38,0.0587161654344609,92,0.014910205414534115,8,2,10,COMPLETE,,
