,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
648,,348,0.6494077261122715,2024-01-27 19:50:48.954153,2024-01-27 19:50:52.624568,0 days 00:00:03.670415,True,absolute_error,0.01975242612675761,40,0.25485598509006857,24,0.0013518631070499126,20,11,RandomForest,41,False,False,COMPLETE,"[0.6507936507936508, 0.7230769230769231, 0.6487603305785125, 0.575]","[0.00675676 0.         0.01468164 0.00097893 0.09712039 0.014388
 0.01367489 0.01372431 0.01342941 0.08865297 0.         0.00619124
 0.02681265 0.00376359 0.         0.00675676 0.01380893 0.04206772
 0.         0.02724416 0.         0.01353487 0.         0.01859756
 0.00411813 0.00026855 0.10925533 0.01481596 0.03880092 0.01868099
 0.02152113 0.00625    0.00742876 0.00814542 0.04612441 0.00503159
 0.02076277 0.0577213  0.01013546 0.00979496 0.06719088 0.00166728
 0.01197723 0.01789086 0.00447386 0.         0.00848193 0.01459642
 0.02572169 0.01351351 0.01285432 0.         0.01383479 0.00675676]"
636,,336,0.6488320349683986,2024-01-27 19:49:55.688199,2024-01-27 19:49:59.704887,0 days 00:00:04.016688,True,absolute_error,0.017084183915983493,42,0.2550776913515277,15,0.00365376576728192,20,12,RandomForest,47,False,False,COMPLETE,"[0.656084656084656, 0.7346153846153846, 0.6446280991735537, 0.56]","[0.00776302 0.         0.01329082 0.00085016 0.11110727 0.01236794
 0.02178623 0.01593571 0.00989115 0.07270838 0.         0.00398424
 0.0326626  0.0081608  0.         0.         0.01255968 0.04357306
 0.         0.02482463 0.         0.01282051 0.         0.01618871
 0.00553868 0.00379801 0.11282159 0.01570373 0.03532498 0.01839522
 0.02428877 0.00543478 0.01335604 0.00760898 0.0353181  0.01948069
 0.02023739 0.0477468  0.0070061  0.00837559 0.05027216 0.00081546
 0.02094393 0.01551131 0.00582479 0.00345669 0.01184504 0.02372643
 0.01844205 0.01196581 0.01905441 0.         0.01167599 0.00555556]"
597,,297,0.6462046076818804,2024-01-26 14:07:31.086618,2024-01-26 14:07:35.293726,0 days 00:00:04.207108,True,absolute_error,0.01317214947565844,41,0.2306464448322953,88,0.001807088423821343,20,12,RandomForest,51,False,False,COMPLETE,,
0,297.0,297,0.6462046076818804,2024-01-26 14:07:31.086618,2024-01-26 14:07:35.293726,0 days 00:00:04.207108,True,absolute_error,0.0131721494756584,41,0.2306464448322953,88,0.0018070884238213,20,12,RandomForest,51,False,False,COMPLETE,"[0.5661375661375662, 0.8038461538461539, 0.6198347107438016, 0.595]","[0.00520833 0.         0.01183142 0.         0.1186565  0.0197366
 0.01595745 0.01552354 0.00778702 0.07079071 0.00599183 0.0149447
 0.02990736 0.01014675 0.00391795 0.01470256 0.00643318 0.02917195
 0.00060336 0.01665278 0.00792553 0.0063507  0.00413158 0.02045683
 0.00791504 0.00586114 0.077461   0.01444146 0.03141106 0.02685568
 0.03622335 0.00561371 0.01551871 0.00090665 0.03068551 0.02202476
 0.02706975 0.04066275 0.01009143 0.01431083 0.04620786 0.
 0.03122336 0.01464259 0.01041667 0.00964145 0.01031037 0.01782973
 0.01581703 0.01041667 0.01552748 0.00156763 0.00719854 0.00531915]"
789,,489,0.6457523284796012,2024-01-27 20:03:19.144864,2024-01-27 20:03:22.917625,0 days 00:00:03.772761,True,absolute_error,0.09659702860188908,43,0.20587116363163996,19,1.0099324717795871e-05,20,12,RandomForest,48,False,False,COMPLETE,"[0.6031746031746033, 0.75, 0.6198347107438017, 0.61]","[1.17043270e-02 5.97728259e-03 3.97234244e-03 8.16553466e-03
 9.75879563e-02 1.68881496e-02 1.66830922e-02 1.82176134e-02
 1.13397540e-02 2.51822349e-02 6.18946374e-03 1.88439819e-02
 4.46198647e-02 5.77987832e-03 8.05634921e-04 1.16831060e-02
 1.29210432e-02 3.48269941e-02 0.00000000e+00 2.31658787e-02
 2.29272442e-03 7.05581940e-03 3.44425025e-03 1.56323117e-02
 5.87183397e-03 0.00000000e+00 8.17941485e-02 1.07539315e-02
 4.32080425e-02 3.36190664e-02 3.10543653e-02 6.01594061e-03
 1.04716855e-02 0.00000000e+00 3.54686306e-02 1.78770990e-02
 2.92807484e-02 4.23584992e-02 1.80540489e-02 1.65937877e-02
 3.98034336e-02 0.00000000e+00 4.67523431e-02 1.09903382e-02
 5.83017582e-03 7.21725944e-03 5.55555556e-03 1.81807495e-02
 1.97733619e-02 1.92075841e-02 1.77719273e-02 6.88113445e-05
 1.80126113e-02 5.43478261e-03]"
462,,162,0.6453577020622475,2024-01-26 13:56:51.132567,2024-01-26 13:56:55.662162,0 days 00:00:04.529595,True,absolute_error,0.01277923737633498,41,0.25153108099323107,20,0.004871539431790953,20,12,RandomForest,53,False,False,COMPLETE,,
1,162.0,162,0.6453577020622475,2024-01-26 13:56:51.132567,2024-01-26 13:56:55.662162,0 days 00:00:04.529595,True,absolute_error,0.0127792373763349,41,0.251531080993231,20,0.0048715394317909,20,12,RandomForest,53,False,False,COMPLETE,"[0.6455026455026456, 0.7730769230769231, 0.5578512396694215, 0.605]","[0.00883774 0.         0.00664293 0.00082509 0.12635097 0.01244396
 0.01713846 0.0152387  0.00963713 0.06174983 0.         0.00818778
 0.02727958 0.00480769 0.         0.00543478 0.01097823 0.03736035
 0.         0.0158132  0.00543478 0.00543478 0.00480769 0.01941931
 0.00343098 0.0032135  0.1087151  0.00770604 0.03948254 0.02125542
 0.03120356 0.00480769 0.01524247 0.00088782 0.03765719 0.01505095
 0.02455462 0.03811538 0.01293721 0.00856821 0.05760652 0.00543478
 0.03319045 0.01307352 0.01089061 0.00226328 0.01749596 0.0188656
 0.01810073 0.01586957 0.01491848 0.         0.01063885 0.005     ]"
593,,293,0.6434333932061205,2024-01-26 14:07:13.956985,2024-01-26 14:07:18.035351,0 days 00:00:04.078366,True,absolute_error,0.013283304675892438,41,0.25014178004639975,20,0.0018731890820596897,20,12,RandomForest,53,False,False,COMPLETE,,
2,293.0,293,0.6434333932061205,2024-01-26 14:07:13.956985,2024-01-26 14:07:18.035351,0 days 00:00:04.078366,True,absolute_error,0.0132833046758924,41,0.2501417800463997,20,0.0018731890820596,20,12,RandomForest,53,False,False,COMPLETE,"[0.6402116402116402, 0.7615384615384616, 0.5619834710743802, 0.61]","[0.00837366 0.         0.00910457 0.00075461 0.12251029 0.01505017
 0.01849541 0.01939637 0.00960508 0.05509604 0.         0.00513319
 0.02435406 0.00480769 0.         0.00543478 0.01625985 0.03734459
 0.00071113 0.02066528 0.00332465 0.01086957 0.00432785 0.02478433
 0.00500249 0.00334931 0.10124843 0.01142115 0.04363078 0.01790641
 0.02868234 0.00570297 0.01982806 0.00632225 0.03967614 0.01642219
 0.02503946 0.03691009 0.01226748 0.00856889 0.05690327 0.
 0.02273522 0.01299181 0.00897435 0.00471778 0.013123   0.02228465
 0.0113306  0.01609126 0.01676205 0.         0.01070442 0.005     ]"
646,,346,0.6433476498249225,2024-01-27 19:50:41.997183,2024-01-27 19:50:45.531620,0 days 00:00:03.534437,True,absolute_error,0.019901798465949395,41,0.2539536100497936,24,6.230236248183424e-05,20,11,RandomForest,41,False,False,COMPLETE,"[0.6507936507936508, 0.7423076923076923, 0.6652892561983471, 0.515]","[0.00598646 0.         0.01468164 0.00092288 0.0893981  0.01439233
 0.01854178 0.01369488 0.01334451 0.08109136 0.         0.00607152
 0.02682205 0.00365415 0.         0.0133357  0.01382547 0.04236455
 0.         0.01518125 0.         0.01217652 0.         0.01859756
 0.00411813 0.00027499 0.11975837 0.01464341 0.03933353 0.01869626
 0.02154607 0.00625    0.01276956 0.00813584 0.05267196 0.00252298
 0.02666666 0.05829433 0.01008785 0.00969979 0.06135553 0.00827242
 0.01134368 0.01123221 0.00539999 0.         0.00675676 0.01439944
 0.02513142 0.0133357  0.01285432 0.         0.01378712 0.00657895]"
