,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
1774,,,,,194,0.5755130823282997,2024-02-17 15:42:12.914997,2024-02-17 15:43:22.579350,0 days 00:01:09.664353,True,absolute_error,0.00715463782345429,4,0.10206225539784092,82,0.0342442614664256,19,19,RandomForest,114,False,False,COMPLETE,"[0.626, 0.5341880341880341, 0.4916666666666667, 0.650197628458498]","[0.03125    0.07964332 0.         0.         0.01428571 0.01428571
 0.19464286 0.07678571 0.         0.         0.00714286 0.0625
 0.         0.         0.03125    0.         0.         0.
 0.         0.00714286 0.         0.         0.         0.00714286
 0.         0.         0.03571429 0.125      0.00714286 0.
 0.00714286 0.01428571 0.         0.0625     0.01428571 0.00714286
 0.         0.0625     0.         0.01410668 0.00714286 0.00714286
 0.02142857 0.         0.00714286 0.02142857 0.03839286 0.
 0.02142857 0.         0.         0.         0.         0.        ]"
1765,,,,,185,0.5746754754906929,2024-02-17 15:33:01.922312,2024-02-17 15:34:07.169575,0 days 00:01:05.247263,True,absolute_error,0.005696287093905802,2,0.11092429129265644,75,0.037435244476332175,19,19,RandomForest,118,False,False,COMPLETE,"[0.6000000000000001, 0.5235042735042735, 0.525, 0.650197628458498]","[0.         0.08333333 0.         0.         0.02       0.01
 0.34333333 0.01       0.         0.         0.         0.08333333
 0.03734508 0.         0.04166667 0.         0.         0.
 0.         0.01       0.         0.         0.         0.
 0.         0.         0.06       0.         0.         0.
 0.01       0.         0.         0.         0.02       0.
 0.         0.04166667 0.         0.         0.09765492 0.01
 0.02       0.         0.01       0.01       0.05166667 0.
 0.03       0.         0.         0.         0.         0.        ]"
1815,,,,,235,0.5746464519779737,2024-02-17 16:21:31.166096,2024-02-17 16:22:38.574832,0 days 00:01:07.408736,True,absolute_error,0.008038865293355913,15,0.10972617396944197,74,0.03226173991911555,19,16,RandomForest,125,False,False,COMPLETE,"[0.626, 0.5299145299145298, 0.5458333333333334, 0.5968379446640315]","[0.04315476 0.05557133 0.         0.         0.01190476 0.01190476
 0.15178571 0.07440476 0.         0.         0.00595238 0.0625
 0.         0.00595238 0.02157738 0.         0.         0.
 0.         0.00595238 0.         0.         0.         0.00595238
 0.         0.         0.05133929 0.08333333 0.02157738 0.
 0.00595238 0.01190476 0.         0.06845238 0.01190476 0.00595238
 0.         0.03125    0.         0.00692867 0.02157738 0.00595238
 0.01785714 0.         0.01190476 0.03348214 0.05282738 0.
 0.0952381  0.         0.00595238 0.         0.         0.        ]"
1812,,,,,232,0.5746458312219183,2024-02-17 16:18:48.533179,2024-02-17 16:19:51.680123,0 days 00:01:03.146944,True,absolute_error,0.008582234462005966,14,0.10823631618812793,72,0.03522996640265821,19,16,RandomForest,119,False,False,COMPLETE,"[0.59, 0.5235042735042735, 0.525, 0.6600790513833992]","[0.         0.05520767 0.         0.         0.01666667 0.01666667
 0.32083333 0.07083333 0.         0.         0.00833333 0.0625
 0.02800951 0.         0.03571429 0.         0.         0.
 0.         0.00833333 0.         0.         0.         0.00833333
 0.         0.         0.05       0.         0.         0.
 0.00833333 0.         0.         0.         0.01666667 0.
 0.         0.07142857 0.         0.0162209  0.07853811 0.00833333
 0.025      0.         0.00833333 0.01666667 0.04404762 0.
 0.025      0.         0.         0.         0.         0.        ]"
1772,,,,,192,0.5730427265970743,2024-02-17 15:40:00.696804,2024-02-17 15:41:06.274206,0 days 00:01:05.577402,True,absolute_error,0.006759831756860405,6,0.10568717928522926,75,0.034146970320130865,19,18,RandomForest,118,False,False,COMPLETE,"[0.626, 0.5341880341880341, 0.4916666666666667, 0.6403162055335968]","[0.02272727 0.0579605  0.         0.         0.01388889 0.01388889
 0.19444444 0.07638889 0.         0.         0.00694444 0.0625
 0.         0.         0.02272727 0.         0.         0.
 0.         0.00694444 0.         0.         0.         0.00694444
 0.         0.         0.04166667 0.125      0.02967172 0.
 0.00694444 0.01388889 0.         0.0625     0.01388889 0.00694444
 0.         0.04545455 0.         0.01022132 0.02967172 0.00694444
 0.02083333 0.         0.00694444 0.02083333 0.05239899 0.
 0.02083333 0.         0.         0.         0.         0.        ]"
1794,,,,,214,0.5730427265970743,2024-02-17 16:02:04.044559,2024-02-17 16:03:09.915147,0 days 00:01:05.870588,True,absolute_error,0.005705935017238887,7,0.09537539121589797,74,0.03410710856437712,19,15,RandomForest,121,False,False,COMPLETE,"[0.626, 0.5341880341880341, 0.4916666666666667, 0.6403162055335968]","[0.02272727 0.05796008 0.         0.         0.01388889 0.01388889
 0.19444444 0.07638889 0.         0.         0.00694444 0.0625
 0.         0.         0.02272727 0.         0.         0.
 0.         0.00694444 0.         0.         0.         0.00694444
 0.         0.         0.04166667 0.125      0.02967172 0.
 0.00694444 0.01388889 0.         0.0625     0.01388889 0.00694444
 0.         0.04545455 0.         0.01022174 0.02967172 0.00694444
 0.02083333 0.         0.00694444 0.02083333 0.05239899 0.
 0.02083333 0.         0.         0.         0.         0.        ]"
1726,,,,,146,0.5726978649369954,2024-02-17 14:59:24.765526,2024-02-17 15:00:23.182606,0 days 00:00:58.417080,True,absolute_error,0.006095767281199808,4,0.10956254428467552,73,0.03463061981908468,19,7,RandomForest,104,False,False,COMPLETE,"[0.5680000000000001, 0.5341880341880341, 0.5166666666666666, 0.6719367588932806]","[0.03571429 0.09115879 0.         0.         0.01923077 0.00961538
 0.21794872 0.09294872 0.         0.         0.         0.08333333
 0.         0.         0.03571429 0.         0.         0.
 0.         0.00961538 0.         0.         0.         0.00961538
 0.         0.         0.02884615 0.125      0.         0.
 0.00961538 0.00961538 0.         0.         0.01923077 0.
 0.         0.03571429 0.         0.01598407 0.00961538 0.00961538
 0.02884615 0.         0.00961538 0.01923077 0.04532967 0.
 0.02884615 0.         0.         0.         0.         0.        ]"
1782,,,,,202,0.5725624978885848,2024-02-17 15:50:49.834101,2024-02-17 15:51:54.965288,0 days 00:01:05.131187,True,absolute_error,0.006106211194935766,12,0.1017579422571449,74,0.03502953049649775,19,17,RandomForest,119,False,False,COMPLETE,"[0.59, 0.5235042735042735, 0.5166666666666666, 0.6600790513833992]","[0.         0.05520939 0.         0.         0.01612903 0.01612903
 0.32056452 0.07056452 0.         0.         0.00806452 0.0625
 0.02802516 0.         0.03571429 0.         0.         0.
 0.         0.00806452 0.         0.         0.         0.00806452
 0.         0.         0.0483871  0.         0.         0.
 0.00806452 0.00806452 0.         0.         0.01612903 0.
 0.         0.07142857 0.         0.01621918 0.07825364 0.00806452
 0.02419355 0.         0.00806452 0.01612903 0.0437788  0.
 0.02419355 0.         0.         0.         0.         0.        ]"
1811,,,,,231,0.5725624978885848,2024-02-17 16:17:45.821565,2024-02-17 16:18:48.513577,0 days 00:01:02.692012,True,absolute_error,0.008465556307418926,13,0.1090972766027081,72,0.034926383973742245,19,16,RandomForest,117,False,False,COMPLETE,"[0.59, 0.5235042735042735, 0.5166666666666666, 0.6600790513833992]","[0.         0.05520489 0.         0.         0.01666667 0.01666667
 0.32083333 0.07083333 0.         0.         0.00833333 0.0625
 0.02802174 0.         0.03571429 0.         0.         0.
 0.         0.00833333 0.         0.         0.         0.00833333
 0.         0.         0.04166667 0.         0.         0.
 0.00833333 0.00833333 0.         0.         0.01666667 0.
 0.         0.07142857 0.         0.01622369 0.07852588 0.00833333
 0.025      0.         0.00833333 0.01666667 0.04404762 0.
 0.025      0.         0.         0.         0.         0.        ]"
3,3.0,3.0,600.0,,300,0.5724301712779974,2024-02-16 12:04:59.621325,2024-02-16 12:05:07.939440,0 days 00:00:08.318115,True,absolute_error,0.034184714538798,46,0.5142422964044899,56,0.0612603792660545,13,4,RandomForest,124,False,False,COMPLETE,"[0.5720000000000001, 0.5, 0.5833333333333334, 0.6343873517786561]","[0.    0.    0.    0.    0.    0.    0.125 0.    0.    0.    0.    0.
 0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.125 0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.125 0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.
 0.125 0.    0.    0.    0.    0.   ]"
1691,,,,,111,0.5722104489713186,2024-02-17 14:27:23.094213,2024-02-17 14:28:24.210146,0 days 00:01:01.115933,True,absolute_error,0.008290460582499245,17,0.07983619479271184,72,0.03341741965382089,18,8,RandomForest,113,False,False,COMPLETE,"[0.6060000000000001, 0.4487179487179487, 0.6333333333333333, 0.6007905138339921]","[0.         0.08333333 0.         0.         0.00833333 0.01666667
 0.05833333 0.08333333 0.         0.00833333 0.         0.05
 0.         0.         0.03611111 0.         0.         0.
 0.         0.         0.         0.         0.         0.00833333
 0.         0.         0.01666667 0.         0.02777778 0.
 0.00833333 0.04444444 0.00833333 0.05       0.01666667 0.00833333
 0.         0.02777778 0.         0.         0.05833333 0.00833333
 0.25833333 0.         0.00833333 0.01666667 0.06388889 0.
 0.025      0.         0.         0.         0.         0.        ]"
1743,,,,,163,0.5721207180500659,2024-02-17 15:15:19.611788,2024-02-17 15:16:19.983319,0 days 00:01:00.371531,True,absolute_error,0.00578805890368716,8,0.07669730325997116,73,0.036638461553829466,20,8,RandomForest,109,False,False,COMPLETE,"[0.5940000000000001, 0.5, 0.5541666666666667, 0.6403162055335969]","[0.         0.16666667 0.         0.         0.0125     0.025
 0.09583333 0.09583333 0.         0.0125     0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.025      0.         0.         0.
 0.0125     0.         0.         0.         0.025      0.
 0.         0.         0.         0.         0.09583333 0.0125
 0.0125     0.         0.0125     0.0125     0.09583333 0.
 0.0375     0.         0.         0.         0.         0.        ]"
1771,,,,,191,0.5712805395088003,2024-02-17 15:39:00.009467,2024-02-17 15:40:00.678967,0 days 00:01:00.669500,True,absolute_error,0.005826836975451051,6,0.10370317620741706,73,0.033595743361948795,19,16,RandomForest,109,False,False,COMPLETE,"[0.626, 0.5341880341880341, 0.5083333333333333, 0.616600790513834]","[0.025      0.08888721 0.         0.         0.01515152 0.01515152
 0.19507576 0.07765152 0.         0.         0.         0.0625
 0.         0.         0.025      0.         0.         0.
 0.         0.00757576 0.         0.         0.         0.00757576
 0.         0.         0.03030303 0.125      0.03257576 0.
 0.00757576 0.01515152 0.         0.0625     0.01515152 0.00757576
 0.         0.025      0.         0.01111279 0.00757576 0.00757576
 0.02272727 0.         0.00757576 0.02272727 0.05757576 0.
 0.02272727 0.         0.         0.         0.         0.        ]"
1843,,,,,263,0.5705329929732104,2024-02-17 16:45:38.598910,2024-02-17 16:46:45.280573,0 days 00:01:06.681663,True,absolute_error,0.0067631778683882255,15,0.1181584109548931,78,0.03240616006352274,19,17,RandomForest,114,False,False,COMPLETE,"[0.626, 0.5555555555555556, 0.49583333333333335, 0.6047430830039526]","[0.03342731 0.07142857 0.         0.         0.01630435 0.01086957
 0.19127664 0.07880435 0.         0.         0.00543478 0.0625
 0.00543478 0.00543478 0.02329193 0.         0.         0.00543478
 0.         0.00543478 0.         0.         0.         0.00543478
 0.         0.         0.0326087  0.04332481 0.02329193 0.
 0.0942029  0.01086957 0.         0.06793478 0.01086957 0.00543478
 0.         0.03571429 0.         0.         0.         0.01086957
 0.03416149 0.         0.00543478 0.01630435 0.06444099 0.
 0.01630435 0.         0.00772176 0.         0.         0.        ]"
1712,,,,,132,0.5704253108003108,2024-02-17 14:46:42.170549,2024-02-17 14:47:39.515959,0 days 00:00:57.345410,True,absolute_error,0.006804843989026041,7,0.10644868725693514,59,0.03712829499992126,19,6,RandomForest,134,False,False,COMPLETE,"[0.5760000000000001, 0.5235042735042735, 0.5458333333333333, 0.6363636363636362]","[0.03125    0.04836448 0.         0.         0.01666667 0.01666667
 0.38333333 0.00833333 0.         0.         0.         0.125
 0.         0.         0.03125    0.         0.         0.
 0.         0.00833333 0.         0.         0.         0.00833333
 0.         0.         0.05       0.         0.         0.
 0.00833333 0.         0.         0.         0.01666667 0.
 0.         0.0625     0.         0.01413552 0.03958333 0.00833333
 0.025      0.         0.00833333 0.00833333 0.03958333 0.
 0.04166667 0.         0.         0.         0.         0.        ]"
1767,,,,,187,0.5703459215904868,2024-02-17 15:34:34.603218,2024-02-17 15:35:39.862014,0 days 00:01:05.258796,True,absolute_error,0.0066872811126233505,12,0.10602751786700154,74,0.032811428070163656,19,18,RandomForest,119,False,False,COMPLETE,"[0.626, 0.5341880341880341, 0.5125000000000001, 0.6086956521739131]","[0.02580972 0.06832181 0.         0.         0.01315789 0.01315789
 0.19407895 0.07565789 0.         0.         0.00657895 0.0625
 0.         0.         0.01923077 0.         0.         0.
 0.         0.00657895 0.         0.         0.         0.00657895
 0.         0.         0.03947368 0.125      0.02580972 0.
 0.00657895 0.01315789 0.         0.06907895 0.01315789 0.00657895
 0.         0.03846154 0.         0.00860126 0.02580972 0.00657895
 0.01973684 0.         0.01315789 0.01973684 0.06427126 0.
 0.01315789 0.         0.         0.         0.         0.        ]"
1738,,,,,158,0.5695790513833993,2024-02-17 15:10:42.929318,2024-02-17 15:11:41.107414,0 days 00:00:58.178096,True,absolute_error,0.005018437754391664,4,0.07875279674819619,73,0.038278868576441916,20,8,RandomForest,104,False,False,COMPLETE,"[0.5880000000000001, 0.5, 0.55, 0.6403162055335969]","[0.         0.16666667 0.         0.         0.         0.02272727
 0.125      0.02272727 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02272727 0.         0.         0.
 0.         0.         0.         0.         0.02272727 0.
 0.         0.         0.         0.         0.14772727 0.02272727
 0.         0.         0.02272727 0.02272727 0.10606061 0.
 0.04545455 0.         0.         0.         0.         0.        ]"
1762,,,,,182,0.5695553359683794,2024-02-17 15:30:03.150851,2024-02-17 15:31:04.062359,0 days 00:01:00.911508,True,absolute_error,0.006138134179822127,8,0.07492615699835255,70,0.036600979395069046,19,8,RandomForest,117,False,False,COMPLETE,"[0.58, 0.5, 0.5499999999999999, 0.6482213438735178]","[0.         0.08333333 0.         0.         0.0125     0.0125
 0.075      0.075      0.         0.0125     0.         0.0625
 0.         0.         0.04166667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0375     0.         0.         0.
 0.0125     0.04166667 0.         0.         0.025      0.
 0.         0.04166667 0.         0.         0.11666667 0.0125
 0.0125     0.         0.0125     0.0125     0.0125     0.
 0.0375     0.         0.         0.         0.         0.        ]"
1753,,,,,173,0.569290266798419,2024-02-17 15:23:22.357856,2024-02-17 15:24:23.034376,0 days 00:01:00.676520,True,absolute_error,0.007452783531801668,7,0.0791109745987873,76,0.03864785221436728,19,13,RandomForest,105,False,False,COMPLETE,"[0.5760000000000001, 0.5, 0.56875, 0.6324110671936759]","[0.         0.125      0.         0.         0.         0.025
 0.10833333 0.025      0.         0.         0.         0.08333333
 0.         0.         0.0625     0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.025      0.         0.         0.
 0.         0.0625     0.         0.         0.025      0.
 0.         0.         0.         0.         0.10833333 0.025
 0.         0.         0.025      0.         0.025      0.
 0.025      0.         0.         0.         0.         0.        ]"
1693,,,,,113,0.56917325428195,2024-02-17 14:28:59.332175,2024-02-17 14:29:59.195602,0 days 00:00:59.863427,True,absolute_error,0.006938991232317603,9,0.0716991768213532,71,0.033619607352519384,18,8,RandomForest,112,False,False,COMPLETE,"[0.64, 0.5, 0.5833333333333334, 0.5533596837944664]","[0.         0.10714286 0.         0.         0.         0.01470588
 0.09803922 0.09803922 0.         0.01470588 0.         0.
 0.         0.         0.01470588 0.         0.         0.
 0.         0.         0.         0.         0.         0.01470588
 0.         0.         0.02941176 0.         0.03571429 0.
 0.01470588 0.03571429 0.         0.08333333 0.01470588 0.
 0.         0.         0.         0.         0.         0.01470588
 0.         0.         0.01470588 0.02941176 0.08613445 0.
 0.02941176 0.         0.         0.         0.         0.        ]"
4,4.0,11.0,542.0,,242,0.5684301712779974,2024-02-16 11:50:18.205040,2024-02-16 11:50:31.358162,0 days 00:00:13.153122,True,absolute_error,0.0327069028584387,46,0.5553175216914087,55,0.0572904128613512,13,2,RandomForest,126,False,False,COMPLETE,"[0.556, 0.5, 0.5833333333333334, 0.6343873517786561]","[0.         0.         0.         0.         0.         0.
 0.125      0.         0.         0.         0.         0.
 0.         0.         0.125      0.         0.         0.
 0.         0.         0.         0.08333333 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.125      0.         0.         0.125      0.
 0.         0.         0.         0.         0.08333333 0.
 0.08333333 0.         0.         0.         0.         0.        ]"
5,7.0,5.0,575.0,,275,0.5684301712779974,2024-02-16 11:59:31.693113,2024-02-16 11:59:43.317110,0 days 00:00:11.623997,True,absolute_error,0.033847654065955,45,0.5279975846410128,64,0.0585383040458156,13,2,RandomForest,136,False,False,COMPLETE,"[0.556, 0.5, 0.5833333333333334, 0.6343873517786561]","[0.         0.         0.         0.         0.         0.
 0.125      0.         0.         0.         0.         0.
 0.         0.         0.125      0.         0.         0.
 0.         0.         0.         0.08333333 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.125      0.         0.         0.125      0.
 0.         0.         0.         0.         0.08333333 0.
 0.08333333 0.         0.         0.         0.         0.        ]"
6,10.0,8.0,538.0,,238,0.5684301712779974,2024-02-16 11:49:27.232032,2024-02-16 11:49:41.027029,0 days 00:00:13.794997,True,absolute_error,0.0320787654087425,47,0.549237111759241,56,0.0576703025101705,13,2,RandomForest,122,False,False,COMPLETE,"[0.556, 0.5, 0.5833333333333334, 0.6343873517786561]","[0.         0.         0.         0.         0.         0.
 0.125      0.         0.         0.         0.         0.
 0.         0.         0.125      0.         0.         0.
 0.         0.         0.         0.08333333 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.125      0.         0.         0.125      0.
 0.         0.         0.         0.         0.08333333 0.
 0.08333333 0.         0.         0.         0.         0.        ]"
11,9.0,13.0,495.0,,195,0.5684301712779974,2024-02-16 11:29:00.250275,2024-02-16 11:29:28.886345,0 days 00:00:28.636070,True,absolute_error,0.0242343598352306,49,0.6227538152874931,56,0.0590981167882272,13,6,RandomForest,122,False,False,COMPLETE,"[0.556, 0.5, 0.5833333333333334, 0.6343873517786561]","[0.         0.         0.         0.         0.         0.
 0.125      0.         0.         0.         0.         0.
 0.         0.         0.125      0.         0.         0.
 0.         0.         0.         0.08333333 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.125      0.         0.         0.125      0.
 0.         0.         0.         0.         0.08333333 0.
 0.08333333 0.         0.         0.         0.         0.        ]"
8,13.0,6.0,553.0,,253,0.5684301712779974,2024-02-16 11:52:54.699725,2024-02-16 11:53:07.052723,0 days 00:00:12.352998,True,absolute_error,0.0331002304967721,46,0.5357804985134831,53,0.0593496003910701,13,2,RandomForest,129,False,False,COMPLETE,"[0.556, 0.5, 0.5833333333333334, 0.6343873517786561]","[0.         0.         0.         0.         0.         0.
 0.125      0.         0.         0.         0.         0.
 0.         0.         0.125      0.         0.         0.
 0.         0.         0.         0.08333333 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.125      0.         0.         0.125      0.
 0.         0.         0.         0.         0.08333333 0.
 0.08333333 0.         0.         0.         0.         0.        ]"
