,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
555,299.0,323.0,,23,0.5515435340802988,2024-02-16 16:33:27.004610,2024-02-16 16:33:32.134018,0 days 00:00:05.129408,True,absolute_error,0.0456305233182456,32,0.7427989485624619,87,0.0801993874497898,20,10,RandomForest,102,False,False,COMPLETE,"[0.5, 0.5, 0.5682773109243697, 0.6378968253968254]","[0.         0.         0.         0.         0.         0.
 0.03571429 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03571429 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.23214286 0.05357143 0.         0.         0.         0.
 0.01785714 0.         0.         0.         0.01785714 0.
 0.03571429 0.07142857 0.         0.         0.         0.        ]"
557,628.0,,,28,0.551485177404295,2024-02-16 16:33:53.065914,2024-02-16 16:33:57.025317,0 days 00:00:03.959403,True,absolute_error,0.0491804018681131,41,0.8757207962713338,100,0.0810409816817234,17,9,RandomForest,92,False,False,COMPLETE,,
556,300.0,328.0,,28,0.551485177404295,2024-02-16 16:33:53.065914,2024-02-16 16:33:57.025317,0 days 00:00:03.959403,True,absolute_error,0.0491804018681131,41,0.8757207962713338,100,0.0810409816817234,17,9,RandomForest,92,False,False,COMPLETE,"[0.4841269841269841, 0.5, 0.5462184873949579, 0.6755952380952381]","[0.         0.         0.         0.         0.         0.
 0.05       0.         0.         0.         0.         0.
 0.03571429 0.         0.         0.05       0.         0.02173913
 0.01086957 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01086957 0.
 0.         0.         0.         0.         0.07608696 0.
 0.29378882 0.06521739 0.         0.         0.         0.
 0.         0.         0.         0.         0.03571429 0.
 0.05       0.05       0.         0.         0.         0.        ]"
558,1078.0,,,478,0.5514268207282913,2024-02-16 21:01:53.759153,2024-02-16 21:01:59.640779,0 days 00:00:05.881626,True,absolute_error,0.0347000248589498,26,0.8609652437920008,60,0.0818640449226154,19,17,RandomForest,130,False,False,COMPLETE,"[0.5793650793650794, 0.5, 0.5241596638655462, 0.6021825396825398]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02083333 0.         0.         0.
 0.         0.         0.         0.0625     0.         0.
 0.         0.         0.         0.         0.         0.
 0.29166667 0.02083333 0.         0.         0.         0.
 0.         0.         0.         0.         0.04166667 0.
 0.25       0.0625     0.         0.         0.         0.        ]"
560,301.0,341.0,,41,0.5511933940242764,2024-02-16 16:34:58.523009,2024-02-16 16:35:03.078861,0 days 00:00:04.555852,True,absolute_error,0.0505802095938333,41,0.854880373760314,100,0.0826886573689365,17,9,RandomForest,94,False,False,COMPLETE,"[0.5, 0.5, 0.5609243697478992, 0.6438492063492064]","[0.         0.         0.         0.         0.         0.
 0.05       0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.31428571 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.03571429 0.
 0.         0.05       0.         0.         0.         0.        ]"
559,641.0,,,41,0.5511933940242764,2024-02-16 16:34:58.523009,2024-02-16 16:35:03.078861,0 days 00:00:04.555852,True,absolute_error,0.0505802095938333,41,0.854880373760314,100,0.0826886573689365,17,9,RandomForest,94,False,False,COMPLETE,,
561,813.0,,,213,0.5509232026143791,2024-02-16 16:48:44.694790,2024-02-16 16:48:50.938425,0 days 00:00:06.243635,True,absolute_error,0.0258413295633328,27,0.9776762162366636,58,0.0776927625641597,17,18,RandomForest,131,False,False,COMPLETE,,
562,302.0,513.0,,213,0.5509232026143791,2024-02-16 16:48:44.694790,2024-02-16 16:48:50.938425,0 days 00:00:06.243635,True,absolute_error,0.0258413295633328,27,0.9776762162366636,58,0.0776927625641597,17,18,RandomForest,131,False,False,COMPLETE,"[0.5396825396825397, 0.537142857142857, 0.40861344537815125, 0.7182539682539683]","[0.         0.         0.         0.         0.         0.
 0.03571429 0.         0.         0.         0.         0.
 0.         0.         0.125      0.03571429 0.         0.08333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03571429 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07142857 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.125      0.
 0.36904762 0.03571429 0.         0.         0.08333333 0.        ]"
563,1151.0,,,551,0.5508782679738562,2024-02-16 21:08:37.489484,2024-02-16 21:08:42.021329,0 days 00:00:04.531845,True,absolute_error,0.0755561903243314,18,0.4961534836049814,70,0.0821771623648123,12,2,RandomForest,110,False,False,COMPLETE,"[0.49107142857142855, 0.4714285714285715, 0.6239495798319328, 0.6170634920634922]","[0.         0.         0.         0.         0.         0.
 0.0625     0.         0.         0.         0.         0.01666667
 0.01666667 0.         0.0625     0.         0.         0.
 0.01666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.05       0.01666667
 0.24583333 0.15833333 0.         0.         0.         0.
 0.04166667 0.         0.         0.         0.         0.
 0.25       0.0625     0.         0.         0.         0.        ]"
566,304.0,374.0,,74,0.550843253968254,2024-02-16 16:37:41.497959,2024-02-16 16:37:46.731464,0 days 00:00:05.233505,True,absolute_error,0.0574440388115249,44,0.8181889078545467,93,0.0741419073663909,17,10,RandomForest,116,False,False,COMPLETE,"[0.39384920634920634, 0.5, 0.5892857142857143, 0.7202380952380952]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01315789 0.         0.         0.04166667
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03125    0.         0.         0.
 0.         0.         0.         0.         0.         0.04166667
 0.29057018 0.12828947 0.         0.         0.         0.
 0.         0.         0.         0.         0.01315789 0.04166667
 0.04440789 0.0625     0.         0.         0.04166667 0.        ]"
565,674.0,,,74,0.550843253968254,2024-02-16 16:37:41.497959,2024-02-16 16:37:46.731464,0 days 00:00:05.233505,True,absolute_error,0.0574440388115249,44,0.8181889078545467,93,0.0741419073663909,17,10,RandomForest,116,False,False,COMPLETE,,
564,303.0,151.0,111.0,111,0.550843253968254,2024-02-15 22:28:22.419946,2024-02-15 22:28:27.785032,0 days 00:00:05.365086,True,absolute_error,0.039915098666341,6,0.7241568733656839,31,0.0764225661047291,19,8,RandomForest,111,False,False,COMPLETE,"[0.4692460317460318, 0.5, 0.5714285714285714, 0.6626984126984126]","[0.      0.      0.025   0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.05
 0.      0.      0.      0.      0.      0.      0.      0.      0.03125
 0.      0.      0.      0.      0.      0.      0.      0.      0.05
 0.2875  0.13125 0.      0.      0.      0.      0.      0.      0.
 0.      0.05    0.      0.03125 0.09375 0.      0.      0.      0.     ]"
567,1070.0,,,470,0.550671685340803,2024-02-16 21:01:13.500209,2024-02-16 21:01:17.952685,0 days 00:00:04.452476,True,absolute_error,0.0488729029395642,25,0.408459788545093,44,0.0828854735425376,18,14,RandomForest,113,False,False,COMPLETE,"[0.5109126984126985, 0.5304761904761905, 0.6176470588235294, 0.5436507936507936]","[0.         0.         0.         0.         0.         0.
 0.08333333 0.         0.         0.         0.         0.01315789
 0.01315789 0.         0.04166667 0.         0.         0.01315789
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01315789 0.         0.03947368 0.01315789
 0.24561404 0.13596491 0.         0.         0.         0.
 0.04166667 0.         0.         0.         0.         0.
 0.26315789 0.08333333 0.         0.         0.         0.        ]"
568,305.0,152.0,51.0,51,0.5506390056022408,2024-02-15 22:23:19.942242,2024-02-15 22:23:25.454205,0 days 00:00:05.511963,True,absolute_error,0.0636415757690562,4,0.7842856983475097,21,0.0812926439658982,17,5,RandomForest,147,False,False,COMPLETE,"[0.4196428571428571, 0.5, 0.5745798319327731, 0.7083333333333333]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00581395 0.         0.         0.         0.00581395 0.02325581
 0.00581395 0.         0.         0.         0.         0.
 0.         0.         0.04166667 0.         0.00581395 0.
 0.         0.         0.00581395 0.         0.09883721 0.
 0.35562016 0.10658915 0.         0.         0.         0.
 0.         0.         0.         0.         0.04166667 0.
 0.00581395 0.04166667 0.         0.         0.00581395 0.        ]"
1230,,,,30,0.5506127450980391,2024-02-17 12:29:20.798469,2024-02-17 12:29:27.216698,0 days 00:00:06.418229,False,absolute_error,0.017419836371758545,32,0.16363692008988776,51,0.025063153711788487,19,17,RandomForest,171,False,False,COMPLETE,"[0.5456349206349207, 0.48571428571428577, 0.4726890756302521, 0.6984126984126984]","[0.         0.01363668 0.0066606  0.00468577 0.00645767 0.00557465
 0.00359073 0.0021011  0.         0.0605802  0.00212727 0.00257055
 0.01147085 0.00076214 0.01540748 0.02358854 0.02226173 0.02278141
 0.01098941 0.         0.02623667 0.00406023 0.         0.
 0.00620313 0.00061089 0.0459919  0.02348474 0.02923977 0.
 0.01840388 0.04427083 0.01061806 0.00252232 0.03024586 0.
 0.19475353 0.10211601 0.00760016 0.         0.         0.00517142
 0.02106732 0.         0.01080094 0.         0.07825183 0.01810341
 0.07768439 0.0108558  0.         0.         0.01646012 0.        ]"
569,670.0,,,70,0.5503034547152195,2024-02-16 16:37:22.314805,2024-02-16 16:37:26.934088,0 days 00:00:04.619283,True,absolute_error,0.0692444879698308,40,0.8976842165267357,87,0.083911440876503,16,15,RandomForest,115,False,False,COMPLETE,,
570,306.0,370.0,,70,0.5503034547152195,2024-02-16 16:37:22.314805,2024-02-16 16:37:26.934088,0 days 00:00:04.619283,True,absolute_error,0.0692444879698308,40,0.8976842165267357,87,0.083911440876503,16,15,RandomForest,115,False,False,COMPLETE,"[0.5158730158730158, 0.5, 0.5504201680672269, 0.634920634920635]","[0.         0.         0.         0.         0.         0.
 0.05       0.         0.         0.         0.         0.00925926
 0.         0.         0.         0.         0.         0.02777778
 0.00925926 0.         0.         0.         0.         0.
 0.         0.         0.05       0.         0.         0.
 0.         0.         0.         0.         0.06481481 0.
 0.30925926 0.08796296 0.         0.         0.         0.
 0.         0.         0.         0.         0.04166667 0.
 0.05       0.05       0.         0.         0.         0.        ]"
571,307.0,153.0,235.0,235,0.550218837535014,2024-02-15 22:38:55.394437,2024-02-15 22:39:01.386536,0 days 00:00:05.992099,True,absolute_error,0.0327247097526839,12,0.9024059229070912,64,0.0771142650522683,17,3,RandomForest,120,False,False,COMPLETE,"[0.5396825396825397, 0.48571428571428565, 0.40861344537815125, 0.7668650793650794]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.125      0.04166667 0.         0.08333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.08333333 0.04166667 0.         0.         0.         0.
 0.         0.         0.         0.         0.125      0.
 0.125      0.29166667 0.         0.         0.08333333 0.        ]"
572,1190.0,,,590,0.5502165032679738,2024-02-16 21:12:22.321003,2024-02-16 21:12:29.046159,0 days 00:00:06.725156,True,absolute_error,0.024737848401791,15,0.9474230242823952,47,0.063293405924656,17,18,RandomForest,126,False,False,COMPLETE,"[0.5228174603174602, 0.4257142857142857, 0.5063025210084033, 0.746031746031746]","[0.         0.01086957 0.02173913 0.         0.00806452 0.
 0.015625   0.         0.         0.         0.02173913 0.
 0.         0.         0.01086957 0.140625   0.         0.04032258
 0.         0.         0.         0.         0.         0.
 0.         0.         0.015625   0.         0.         0.
 0.         0.         0.         0.         0.00806452 0.01612903
 0.14960992 0.16718531 0.         0.         0.         0.01086957
 0.04067321 0.         0.02173913 0.         0.05629821 0.00806452
 0.17237903 0.03125    0.         0.         0.03225806 0.        ]"
1438,,,,238,0.5501482259570494,2024-02-17 12:59:52.071151,2024-02-17 13:00:03.177264,0 days 00:00:11.106113,False,absolute_error,0.014278341482420395,7,0.21858926181627958,46,0.024030321058068675,8,11,RandomForest,168,False,False,COMPLETE,"[0.5773809523809523, 0.5219047619047619, 0.5378151260504201, 0.5634920634920635]","[0.         0.0084359  0.04210141 0.00308103 0.00553902 0.00326
 0.00032885 0.00038306 0.00212342 0.04442257 0.00112323 0.00956229
 0.00526572 0.00079787 0.00313709 0.03718104 0.01162844 0.01694379
 0.00439716 0.00112563 0.02939543 0.00772439 0.00476944 0.00125032
 0.0011556  0.000205   0.04340998 0.01623666 0.02813437 0.00122595
 0.01187315 0.06276711 0.01260062 0.00703486 0.04101908 0.00062137
 0.1360704  0.08060591 0.01366913 0.01590959 0.00292161 0.00657238
 0.00474621 0.00178137 0.00421102 0.00609773 0.08099253 0.01989263
 0.10784628 0.03100919 0.00116869 0.00177339 0.00171929 0.0127518 ]"
575,309.0,154.0,237.0,237,0.5500700280112044,2024-02-15 22:39:07.118684,2024-02-15 22:39:13.037130,0 days 00:00:05.918446,True,absolute_error,0.0297721322508415,15,0.8686795770757587,68,0.0778774016167071,18,3,RandomForest,117,False,False,COMPLETE,"[0.5396825396825397, 0.5, 0.40861344537815125, 0.7519841269841271]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.125      0.0625     0.         0.08333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.0625     0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.125      0.
 0.14583333 0.0625     0.         0.         0.08333333 0.        ]"
574,803.0,,,203,0.5500700280112044,2024-02-16 16:47:52.432540,2024-02-16 16:47:57.856362,0 days 00:00:05.423822,True,absolute_error,0.0248771828901066,24,0.6808444218587997,62,0.082892367145839,17,16,RandomForest,121,False,False,COMPLETE,,
573,308.0,503.0,,203,0.5500700280112044,2024-02-16 16:47:52.432540,2024-02-16 16:47:57.856362,0 days 00:00:05.423822,True,absolute_error,0.0248771828901066,24,0.6808444218587997,62,0.082892367145839,17,16,RandomForest,121,False,False,COMPLETE,"[0.5, 0.5, 0.5871848739495797, 0.613095238095238]","[0.         0.         0.         0.         0.         0.
 0.0625     0.         0.         0.         0.         0.
 0.         0.         0.03571429 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.26785714 0.07142857 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0625     0.         0.         0.         0.        ]"
577,722.0,,,122,0.5497875816993464,2024-02-16 16:41:01.678100,2024-02-16 16:41:03.923133,0 days 00:00:02.245033,True,absolute_error,0.0425769828440077,33,0.9354924268352096,67,0.0699214193231258,14,3,RandomForest,13,False,False,COMPLETE,,
576,310.0,422.0,,122,0.5497875816993464,2024-02-16 16:41:01.678100,2024-02-16 16:41:03.923133,0 days 00:00:02.245033,True,absolute_error,0.0425769828440077,33,0.9354924268352096,67,0.0699214193231258,14,3,RandomForest,13,False,False,COMPLETE,"[0.5, 0.4542857142857143, 0.6218487394957982, 0.623015873015873]","[0.         0.         0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.25       0.         0.         0.         0.
 0.         0.         0.         0.         0.08333333 0.
 0.08333333 0.08333333 0.         0.         0.125      0.        ]"
578,1005.0,,,405,0.54968837535014,2024-02-16 20:55:08.718932,2024-02-16 20:55:13.846040,0 days 00:00:05.127108,True,absolute_error,0.027756995065341,30,0.9828743149263166,14,0.0639184942357698,13,14,RandomForest,97,False,False,COMPLETE,"[0.4980158730158731, 0.46380952380952384, 0.5861344537815125, 0.6507936507936508]","[0.         0.         0.         0.01086957 0.         0.
 0.01470588 0.         0.         0.01086957 0.         0.
 0.0511509  0.         0.         0.16843259 0.         0.02941176
 0.         0.         0.01086957 0.01470588 0.         0.
 0.         0.03571429 0.         0.00534457 0.         0.
 0.         0.02164845 0.         0.         0.02941176 0.01470588
 0.17368356 0.14258312 0.01086957 0.01086957 0.         0.01086957
 0.01470588 0.         0.01086957 0.         0.01470588 0.01470588
 0.09389777 0.05882353 0.01086957 0.         0.01470588 0.        ]"
1346,,,,146,0.5494642857142857,2024-02-17 12:43:56.760618,2024-02-17 12:44:09.335366,0 days 00:00:12.574748,False,absolute_error,0.014722182058337339,7,0.19935338966980917,44,0.028106051281144257,12,12,RandomForest,159,False,False,COMPLETE,"[0.44841269841269843, 0.537142857142857, 0.5714285714285714, 0.6408730158730158]","[0.         0.01578449 0.01792883 0.00044306 0.00274868 0.00052812
 0.00067457 0.         0.00049061 0.00432381 0.         0.0007056
 0.00900465 0.         0.00131703 0.00799794 0.02249448 0.02018917
 0.01013126 0.00118718 0.04379174 0.00728294 0.00154824 0.
 0.         0.00075578 0.00333079 0.00586519 0.02987234 0.00034949
 0.01621783 0.09068147 0.00832208 0.0036906  0.03952159 0.
 0.16384661 0.04715192 0.01469052 0.00041659 0.00045634 0.00364828
 0.00751632 0.         0.00637637 0.00047358 0.09097274 0.00907485
 0.27351648 0.00815072 0.00126952 0.00053249 0.00472711 0.        ]"
1383,,,,183,0.54937675070028,2024-02-17 12:50:25.125710,2024-02-17 12:50:35.503486,0 days 00:00:10.377776,False,absolute_error,0.015628500617050057,4,0.14471806890039296,29,0.0267278920535028,7,17,RandomForest,184,False,False,COMPLETE,"[0.4880952380952381, 0.537142857142857, 0.5294117647058824, 0.6428571428571428]","[3.98624338e-04 1.05947282e-02 2.02059849e-02 8.87773331e-04
 2.27377345e-03 2.35761623e-03 1.34161522e-03 9.83421796e-04
 1.47761431e-03 2.65973004e-03 3.34825626e-03 2.89941971e-03
 1.36739968e-02 6.43031195e-04 5.92710203e-03 2.48108569e-03
 1.97982425e-02 2.23088451e-02 5.13742514e-03 0.00000000e+00
 3.67725577e-02 1.11421040e-02 2.72128025e-03 2.69513359e-04
 8.37662602e-04 2.87856545e-04 3.79957636e-03 7.17307574e-03
 2.99207567e-02 6.99168940e-04 2.11090955e-02 8.09738166e-02
 1.44767901e-02 5.14806377e-03 2.47615465e-02 9.43992298e-04
 1.77788616e-01 4.00300160e-02 9.10501068e-03 0.00000000e+00
 3.01885972e-04 3.96827853e-03 1.43692508e-02 9.60186418e-04
 1.17360782e-02 2.06057097e-03 7.78794206e-02 1.68096765e-02
 2.71364648e-01 6.30759181e-03 1.08134165e-03 1.47224840e-03
 4.33003576e-03 0.00000000e+00]"
580,311.0,562.0,,262,0.5493259803921569,2024-02-16 16:53:21.312985,2024-02-16 16:53:25.922994,0 days 00:00:04.610009,True,absolute_error,0.0271093242876899,24,0.8315848502380165,55,0.090029914711646,16,19,RandomForest,111,False,False,COMPLETE,"[0.4632936507936508, 0.5, 0.569327731092437, 0.6646825396825398]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.10119048 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.10714286 0.
 0.4047619  0.05357143 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.         0.        ]"
579,862.0,,,262,0.5493259803921569,2024-02-16 16:53:21.312985,2024-02-16 16:53:25.922994,0 days 00:00:04.610009,True,absolute_error,0.0271093242876899,24,0.8315848502380165,55,0.090029914711646,16,19,RandomForest,111,False,False,COMPLETE,,
581,312.0,155.0,0.0,0,0.549282212885154,2024-02-15 22:19:14.903389,2024-02-15 22:19:21.334619,0 days 00:00:06.431230,True,absolute_error,0.0346438927097061,13,0.8406252113335309,96,0.0844939326594668,11,3,RandomForest,149,False,False,COMPLETE,"[0.47023809523809523, 0.5, 0.601890756302521, 0.6249999999999999]","[0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.      0.03125 0.      0.      0.      0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.05
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.25625 0.03125 0.      0.      0.      0.      0.      0.      0.
 0.      0.03125 0.      0.05    0.05    0.      0.      0.25    0.     ]"
582,313.0,156.0,84.0,84,0.5492238562091504,2024-02-15 22:26:09.628821,2024-02-15 22:26:14.013760,0 days 00:00:04.384939,True,absolute_error,0.0690137532576243,5,0.8035706198786742,31,0.0828953601723779,16,15,RandomForest,103,False,False,COMPLETE,"[0.4533730158730159, 0.5, 0.6512605042016807, 0.5922619047619048]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03125    0.         0.         0.         0.         0.01086957
 0.01086957 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01086957 0.
 0.         0.         0.         0.         0.08695652 0.
 0.22146739 0.15896739 0.         0.         0.         0.
 0.         0.         0.         0.         0.03125    0.
 0.         0.1875     0.         0.         0.         0.        ]"
