,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
1,3.0,3.0,241.0,241,0.7049520722381872,2024-02-15 23:11:48.811308,2024-02-15 23:11:57.475317,0 days 00:00:08.664009,True,absolute_error,0.0417720238682876,42,0.3396977925967445,36,0.0463715970331666,19,16,RandomForest,182,False,False,COMPLETE,"[0.8387096774193548, 0.6594202898550724, 0.6206293706293706, 0.7010489510489509]","[0.02272727 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02272727 0.         0.         0.02272727
 0.         0.         0.         0.         0.         0.
 0.         0.02272727 0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.
 0.73863636 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04545455 0.        ]"
2,0.0,0.0,217.0,217,0.7049520722381872,2024-02-15 23:08:31.905708,2024-02-15 23:08:40.768620,0 days 00:00:08.862912,True,absolute_error,0.0397048572840798,42,0.3424702666418244,36,0.0463537504720076,19,16,RandomForest,187,False,False,COMPLETE,"[0.8387096774193548, 0.6594202898550724, 0.6206293706293706, 0.7010489510489509]","[0.02272727 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02272727 0.         0.         0.02272727
 0.         0.         0.         0.         0.         0.
 0.         0.02272727 0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.
 0.73863636 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04545455 0.        ]"
3,1.0,1.0,222.0,222,0.7049520722381872,2024-02-15 23:09:15.484497,2024-02-15 23:09:24.084515,0 days 00:00:08.600018,True,absolute_error,0.0412630305879637,43,0.334967241646461,36,0.0464513237903473,19,16,RandomForest,181,False,False,COMPLETE,"[0.8387096774193548, 0.6594202898550724, 0.6206293706293706, 0.7010489510489509]","[0.02777778 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02777778 0.         0.         0.02777778
 0.         0.         0.         0.         0.         0.
 0.         0.02777778 0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.
 0.70833333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.05555556 0.        ]"
0,2.0,2.0,231.0,231,0.7049520722381872,2024-02-15 23:10:28.601739,2024-02-15 23:10:37.460030,0 days 00:00:08.858291,True,absolute_error,0.0398589922902194,42,0.3354332837708685,35,0.0470620291720612,19,16,RandomForest,184,False,False,COMPLETE,"[0.8387096774193548, 0.6594202898550724, 0.6206293706293706, 0.7010489510489509]","[0.025 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.025 0.    0.    0.025 0.    0.    0.    0.    0.    0.
 0.    0.025 0.    0.    0.125 0.    0.    0.    0.    0.    0.    0.
 0.725 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.05  0.   ]"
4,1166.0,,,566,0.7014058142652111,2024-02-16 21:50:36.528302,2024-02-16 21:50:41.442333,0 days 00:00:04.914031,True,absolute_error,0.0166815778977406,28,0.2912176942503143,20,0.0466187313601355,4,19,RandomForest,85,False,False,COMPLETE,"[0.8010752688172043, 0.730072463768116, 0.5559440559440558, 0.7185314685314685]","[0.02419355 0.         0.00806452 0.         0.         0.03571429
 0.         0.         0.         0.00806452 0.         0.00806452
 0.         0.         0.         0.26104071 0.         0.
 0.06704784 0.03225806 0.         0.         0.         0.
 0.00806452 0.         0.         0.         0.         0.
 0.         0.04707471 0.0042302  0.00266974 0.00806452 0.
 0.2160502  0.00806452 0.         0.         0.         0.09537968
 0.         0.02021172 0.00806452 0.07056452 0.01283313 0.00243674
 0.         0.03571429 0.         0.00806452 0.         0.00806452]"
5,4.0,4.0,199.0,199,0.6978748810796496,2024-02-15 23:05:53.443658,2024-02-15 23:06:02.303854,0 days 00:00:08.860196,True,absolute_error,0.0393218492905682,40,0.4345195468721615,41,0.0439797255621246,19,15,RandomForest,183,False,False,COMPLETE,"[0.8306451612903225, 0.6304347826086956, 0.6293706293706294, 0.7010489510489509]","[0.13815789 0.         0.         0.         0.01315789 0.
 0.         0.         0.         0.01315789 0.         0.
 0.         0.         0.01315789 0.         0.         0.01315789
 0.         0.         0.         0.         0.         0.
 0.         0.01315789 0.         0.         0.06315789 0.
 0.         0.         0.         0.         0.         0.
 0.56710526 0.         0.         0.         0.         0.
 0.         0.01315789 0.         0.06315789 0.         0.
 0.         0.05       0.         0.         0.03947368 0.        ]"
6,5.0,5.0,213.0,213,0.6978140927562386,2024-02-15 23:07:55.484350,2024-02-15 23:08:04.722774,0 days 00:00:09.238424,True,absolute_error,0.0397305867564995,40,0.3262046210244764,38,0.04613649059654,19,16,RandomForest,196,False,False,COMPLETE,"[0.8279569892473118, 0.6503623188405797, 0.6118881118881119, 0.7010489510489509]","[0.02272727 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02272727 0.         0.         0.02272727
 0.         0.         0.         0.         0.         0.
 0.         0.02272727 0.         0.         0.0625     0.
 0.         0.         0.         0.         0.         0.
 0.63636364 0.         0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.
 0.         0.0625     0.         0.         0.02272727 0.        ]"
7,6.0,6.0,207.0,207,0.6968083780408465,2024-02-15 23:07:04.326123,2024-02-15 23:07:12.729152,0 days 00:00:08.403029,True,absolute_error,0.0392518270302648,41,0.3406971125857616,38,0.0456056059262848,20,14,RandomForest,190,False,False,COMPLETE,"[0.8064516129032258, 0.6503623188405797, 0.6293706293706294, 0.7010489510489509]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02272727 0.         0.         0.02272727
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.
 0.6780303  0.         0.         0.         0.08333333 0.
 0.02272727 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04545455 0.        ]"
8,8.0,8.0,251.0,251,0.6951917151338609,2024-02-15 23:13:08.773733,2024-02-15 23:13:17.276461,0 days 00:00:08.502728,True,absolute_error,0.0390121581758356,42,0.3192871221302398,34,0.04595442701482,19,17,RandomForest,179,False,False,COMPLETE,"[0.8279569892473118, 0.6503623188405797, 0.6013986013986015, 0.7010489510489509]","[0.025      0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.025      0.         0.         0.025
 0.         0.         0.         0.         0.         0.
 0.         0.025      0.         0.         0.08333333 0.
 0.         0.         0.         0.         0.         0.
 0.58333333 0.         0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.025      0.        ]"
9,7.0,7.0,218.0,218,0.6951917151338609,2024-02-15 23:08:40.786422,2024-02-15 23:08:49.615224,0 days 00:00:08.828802,True,absolute_error,0.0392494760126772,42,0.3207041790524282,36,0.046017337412858,19,16,RandomForest,183,False,False,COMPLETE,"[0.8279569892473118, 0.6503623188405797, 0.6013986013986015, 0.7010489510489509]","[0.02272727 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02272727 0.         0.         0.02272727
 0.         0.         0.         0.         0.         0.
 0.         0.02272727 0.         0.         0.08333333 0.
 0.         0.         0.         0.         0.         0.
 0.59469697 0.         0.         0.         0.125      0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.         0.         0.02272727 0.        ]"
